Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
GMC,'CANYON 4WD','PICKUP TRUCK - SMALL',2.8,4,A6,D,12,8.2,10.3,27,277
NISSAN,QUEST,MINIVAN,3.5,6,AV,X,12,8.7,10.5,27,242
PORSCHE,'911 TARGA 4 GTS',MINICOMPACT,3,6,AM7,Z,12.1,9.2,10.8,26,251
CADILLAC,'XTS AWD',FULL-SIZE,3.6,6,AS6,X,13.7,9,11.6,24,272
MINI,'COOPER S COUNTRYMAN ALL4',MID-SIZE,2,4,AS8,Z,10.5,7.6,9.2,31,215
MERCEDES-BENZ,'AMG S 65',FULL-SIZE,6,12,AS7,Z,18.5,11.8,15.5,18,361
AUDI,'A5 QUATTRO',SUBCOMPACT,2,4,M6,Z,10.6,7.3,9.1,31,214
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',2.4,4,AV6,X,9.9,8.1,9.1,31,209
MINI,'COOPER S 3 DOOR',SUBCOMPACT,2,4,M6,Z,10.3,7.4,9,31,210
MERCEDES-BENZ,'AMG S 63 4MATIC+',FULL-SIZE,4,8,A9,Z,14.1,8.9,11.8,24,275
AUDI,'Q5 HYBRID','SUV - SMALL',2,4,AS8,Z,9.8,7.9,8.9,32,205
MERCEDES-BENZ,'E 300 4MATIC',MID-SIZE,3.5,6,AS7,Z,11.9,8.2,10.2,28,235
RAM,'1500 (MDS)','PICKUP TRUCK - STANDARD',5.7,8,A8,X,15.7,10.9,13.6,21,313
ACURA,'MDX SH-AWD','SUV - SMALL',3.5,6,AS9,Z,12.6,9,11,26,259
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,21.3,12.8,17.5,16,407
MERCEDES-BENZ,'GLE 400 4MATIC','SUV - STANDARD',3,6,AS7,Z,13.3,10.4,12,24,282
BUICK,'Envision AWD','SUV - SMALL',2,4,A9,Z,11.7,9.4,10.7,26,249
BMW,'M8 Gran Coupe',MID-SIZE,4.4,8,AS8,Z,16,11,13.8,20,322
NISSAN,JUKE,'STATION WAGON - SMALL',1.6,4,M6,Z,8.5,6.9,7.8,36,183
BUICK,'ENVISION AWD','SUV - SMALL',2,4,A6,Z,11.8,9.1,10.6,27,248
JEEP,'Wrangler JL Unlimited 4X4','SUV - SMALL',3.6,6,A8,X,12.9,10.2,11.7,24,275
FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,13.6,8.4,11.2,25,264
CADILLAC,'ATS AWD',COMPACT,3.6,6,AS8,X,12.1,8.6,10.5,27,247
CHEVROLET,'SILVERADO 4WD FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15,10.7,13.1,22,306
TOYOTA,TACOMA,'PICKUP TRUCK - SMALL',2.7,4,M5,X,11.3,9.5,10.5,27,242
RAM,'1500 EcoDiesel','PICKUP TRUCK - STANDARD',3,6,A8,D,10.5,7.3,9,31,243
FORD,ESCAPE,'SUV - SMALL',2,4,AS6,X,10.9,8,9.6,29,221
GMC,'YUKON 4WD FFV','SUV - STANDARD',5.3,8,A6,E,20.9,14.5,18,16,300
CHEVROLET,'EXPRESS 2500 PASSENGER','VAN - PASSENGER',6,8,A6,X,22,14.9,18.8,15,441
CHEVROLET,COLORADO,'PICKUP TRUCK - SMALL',2.5,4,A6,X,12,9.2,10.7,26,252
VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,X,9.4,6.7,8.2,34,189
VOLVO,'XC60 T6 AWD','SUV - SMALL',2,4,AS8,Z,11.7,8.7,10.4,27,244
PORSCHE,'Panamera 4S Executive',FULL-SIZE,2.9,6,AM8,Z,13.1,8.9,11.2,25,261
PORSCHE,'911 Carrera GTS',MINICOMPACT,3,6,AM7,Z,11.5,9.1,10.4,27,243
JEEP,'RENEGADE 4X4','SUV - SMALL',2.4,4,A9,X,11.2,8.2,9.8,29,230
PORSCHE,PANAMERA,FULL-SIZE,3,6,AM8,Z,11,8.3,9.8,29,229
KIA,SORENTO,'SUV - SMALL',3.3,6,A6,X,12.9,9.5,11.4,25,262
FORD,'EDGE AWD','SUV - SMALL',2,4,AS6,X,11.9,8.6,10.4,27,244
ACURA,'RLX HYBRID',MID-SIZE,3.5,6,AM7,Z,8.4,8.2,8.4,34,196
GMC,'ACADIA AWD','SUV - STANDARD',3.6,6,A6,X,16.1,10.8,13.7,21,323
INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,12.8,8.9,11,26,253
FORD,'ESCAPE FFV','SUV - SMALL',2.5,4,AS6,E,15.2,10.9,13.3,21,219
SUBARU,'Ascent AWD','SUV - STANDARD',2.4,4,AV8,X,11.6,9,10.4,27,244
KIA,'OPTIMA HYBRID',MID-SIZE,2.4,4,AS6,X,6.5,5.9,6.2,46,143
AUDI,A3,SUBCOMPACT,2,4,AM7,X,9.1,6.8,8,35,188
CHEVROLET,'Camaro SS',SUBCOMPACT,6.2,8,M6,Z,14.9,9.9,12.6,22,297
MERCEDES-BENZ,'C 63 AMG COUPE',SUBCOMPACT,6.2,8,AS7,Z,17.9,12.3,15.4,18,354
JEEP,'RENEGADE FFV','SUV - SMALL',2.4,4,A9,E,14.2,9.9,12.2,23,195
RAM,1500,'PICKUP TRUCK - STANDARD',5.7,8,A8,X,15.7,11,13.6,21,319
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,M5,X,9.5,6.9,8.4,34,196
TOYOTA,TUNDRA,'PICKUP TRUCK - STANDARD',4,6,AS5,X,14.8,11.8,13.5,21,310
MERCEDES-BENZ,'AMG C 43 4MATIC',COMPACT,3,6,A9,Z,12.4,8.7,10.7,26,253
FORD,'Mustang (Performance Pkg)',SUBCOMPACT,2.3,4,M6,X,11.8,8.7,10.4,27,244
KIA,RIO,COMPACT,1.6,4,M6,X,8.7,6.4,7.7,37,177
JEEP,PATRIOT,'SUV - SMALL',2,4,AV,X,10.8,8.9,10,28,234
CADILLAC,'CTS-V COUPE',MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
CADILLAC,'CT6 AWD',FULL-SIZE,3.6,6,AS10,X,13,8.8,11.1,25,261
MERCEDES-BENZ,'AMG GLE 43 4MATIC','SUV - STANDARD',3,6,A9,Z,13.5,10.3,12.1,23,282
PORSCHE,'MACAN TURBO','SUV - SMALL',3.6,6,A7,Z,14.2,10.1,12.3,23,287
DODGE,'GRAND CARAVAN FFV',MINIVAN,3.6,6,A6,E,19.2,13.1,16.4,17,269
CHEVROLET,'SILVERADO 4WD','PICKUP TRUCK - STANDARD',5.3,8,A6,E,19.9,14.2,17.3,16,277
PORSCHE,'CAYMAN S',TWO-SEATER,3.4,6,AM7,Z,11.3,7.9,9.8,29,225
FORD,'F-150 4X4 (Payload Pkg)','PICKUP TRUCK - STANDARD',3.5,6,AS10,X,14.7,11.2,13.1,22,308
FORD,'F-150 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',2.7,6,AS10,X,12,9.4,10.8,26,253
GMC,'YUKON XL FFV','SUV - STANDARD',5.3,8,A6,X,15.1,10.4,13,22,305
BENTLEY,'FLYING SPUR',MID-SIZE,6,12,AS8,Z,20.4,12,16.6,17,389
NISSAN,'370Z ROADSTER',TWO-SEATER,3.7,6,AS7,Z,13,9.6,11.5,25,264
PORSCHE,'911 Carrera 4S Cabriolet',MINICOMPACT,3,6,AM7,Z,11,8.5,9.9,29,231
CHRYSLER,'300 AWD',FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
FORD,'Edge AWD','SUV - SMALL',2,4,AS8,X,11.4,8.3,10,28,233
GMC,'SAVANA 2500 PASSENGER','VAN - PASSENGER',4.8,8,A6,X,21.1,14.2,18,16,414
BMW,M235i,SUBCOMPACT,3,6,AS8,Z,11.6,7.7,9.9,29,232
AUDI,'A4 QUATTRO',COMPACT,2,4,AS8,Z,11,7.8,9.6,29,224
BMW,'X6 xDRIVE35i','SUV - STANDARD',3,6,A8,Z,13.6,9.8,11.9,24,274
CHEVROLET,'SONIC 5','STATION WAGON - SMALL',1.8,4,AS6,X,9.6,6.7,8.3,34,195
JEEP,Compass,'SUV - SMALL',2.4,4,M6,X,10.4,7.3,9,31,211
FORD,'Fusion Hybrid',MID-SIZE,2,4,AV,X,5.5,5.6,5.6,50,131
BMW,'M235i CABRIOLET',SUBCOMPACT,3,6,AS8,Z,11.6,7.7,9.9,29,232
MERCEDES-BENZ,'SL 550',TWO-SEATER,4.7,8,AS7,Z,13.4,9.6,11.7,24,269
JAGUAR,'E-PACE P250','SUV - SMALL',2,4,AS9,Z,11,8.4,9.8,29,231
MAZDA,'MAZDA3 5-DOOR',MID-SIZE,2.5,4,AS6,X,9,6.7,7.8,36,183
PORSCHE,'911 CARRERA',MINICOMPACT,3.4,6,M7,Z,12.5,8.6,10.7,26,246
INFINITI,'Q60 AWD',SUBCOMPACT,3,6,AS7,Z,12.3,8.7,10.7,26,251
BUICK,'LACROSSE eASSIST',MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
MITSUBISHI,'RVR 4WD','SUV - SMALL',2.4,4,AV6,X,10.3,8.3,9.4,30,219
RAM,'1500 Classic 4X4','PICKUP TRUCK - STANDARD',5.7,8,A8,X,16.2,11.6,14.1,20,330
MERCEDES-BENZ,'S 560 4MATIC COUPE',COMPACT,4,8,A9,Z,13.6,8.8,11.4,25,269
HYUNDAI,'TUCSON AWD','SUV - SMALL',2,4,AS6,X,11.4,9.3,10.4,27,239
MAZDA,'CX-9 4WD','SUV - SMALL',3.7,6,AS6,X,14.3,10.6,12.7,22,292
FORD,'F-150 4X4 (Payload Pkg)','PICKUP TRUCK - STANDARD',3.5,6,AS10,X,14,11,12.7,22,298
PORSCHE,Macan,'SUV - SMALL',2,4,AM7,Z,12.2,10.2,11.3,25,264
CHEVROLET,'Silverado 4WD','PICKUP TRUCK - STANDARD',5.3,8,A8,X,14.7,10.7,12.9,22,303
LAMBORGHINI,'AVENTADOR COUPE',TWO-SEATER,6.5,12,A7,Z,22.8,12.9,18.3,15,421
PORSCHE,MACAN,'SUV - SMALL',2,4,A7,Z,11.6,9.3,10.6,27,248
FORD,'Mustang (Performance Pkg)',SUBCOMPACT,2.3,4,M6,X,11.8,8.7,10.4,27,244
JAGUAR,'F-TYPE V8 R COUPE',TWO-SEATER,5,8,AS8,Z,15,10.2,12.8,22,294
DODGE,'Challenger SRT Hellcat',MID-SIZE,6.2,8,M6,Z,18.1,11.4,15.1,19,352
BMW,'328i xDRIVE GRAN TURISMO',FULL-SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209
DODGE,DART,MID-SIZE,2.4,4,M6,X,10.5,6.7,8.8,32,202
PORSCHE,'MACAN GTS','SUV - SMALL',3,6,A7,Z,13.8,10.3,12.3,23,287
MINI,'JOHN COOPER WORKS COUPE',TWO-SEATER,1.6,4,M6,Z,9.1,6.7,8,35,184
KIA,Optima,FULL-SIZE,2.4,4,AS6,X,9.5,7.1,8.4,34,199
GMC,CANYON,'PICKUP TRUCK - SMALL',2.5,4,M6,X,12.2,9.2,10.9,26,254
LINCOLN,'CONTINENTAL AWD',FULL-SIZE,2.7,6,AS6,X,14,9.4,12,24,280
CHEVROLET,'EXPRESS 3500 PASSENGER','VAN - PASSENGER',6,8,A6,X,22.2,15.1,19,15,437
PORSCHE,'911 CARRERA S',MINICOMPACT,3.8,6,AM7,Z,11.9,8.7,10.5,27,242
KIA,'FORTE KOUP',COMPACT,1.6,4,AS6,X,10.6,7.8,9.4,30,216
PORSCHE,'CAYENNE TURBO','SUV - STANDARD',4.8,8,A8,Z,16.3,11,13.9,20,326
HYUNDAI,ACCENT,COMPACT,1.6,4,A6,X,8.8,6.3,7.7,37,177
CHEVROLET,'EXPRESS 3500 PASSENGER','VAN - PASSENGER',6,8,A6,X,22.1,15,18.9,15,435
INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,12.8,8.9,11,26,253
GMC,'SAVANA 3500 PASSENGER','VAN - PASSENGER',4.8,8,A6,X,21.3,14.3,18.2,16,419
KIA,Rio,COMPACT,1.6,4,M6,X,8.3,6.4,7.5,38,175
HYUNDAI,ACCENT,COMPACT,1.6,4,A6,X,8.8,6.3,7.7,37,177
BMW,'340i xDRIVE',COMPACT,3,6,M6,Z,12.2,8.5,10.5,27,246
BMW,'X4 M40i','SUV - SMALL',3,6,AS8,Z,11.9,8.7,10.4,27,245
SCION,tC,COMPACT,2.5,4,M6,X,10.2,7.7,9,31,210
LAMBORGHINI,'Huracan Coupe AWD',TWO-SEATER,5.2,10,AM7,Z,18,12.9,15.7,18,370
DODGE,'CHALLENGER SRT (MDS)',MID-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
GMC,Canyon,'PICKUP TRUCK - SMALL',3.6,6,A8,X,13.4,9.6,11.7,24,273
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE I','SUV - SMALL',3.2,6,A9,X,11.6,8.6,10.3,27,241
MITSUBISHI,OUTLANDER,'SUV - SMALL',2.4,4,AV6,X,9.2,7.5,8.4,34,197
NISSAN,'SENTRA NISMO',MID-SIZE,1.6,4,AV7,Z,9.4,7.8,8.7,32,205
KIA,Forte,MID-SIZE,2,4,AV,X,7.9,5.9,7,40,165
MINI,'COOPER 5 DOOR',SUBCOMPACT,1.5,3,M6,Z,8.5,6.3,7.5,38,175
BMW,'X6 M','SUV - STANDARD',4.4,8,AS8,Z,16.6,12.1,14.6,19,341
JEEP,'CHEROKEE 4X4','SUV - SMALL',3.2,6,A9,X,11.6,8.5,10.2,28,240
FORD,'F-150 FFV (LT Tire Pkg)','PICKUP TRUCK - STANDARD',5,8,AS10,X,14.7,11.2,13.1,22,307
CHEVROLET,'CAMARO ZL1',COMPACT,6.2,8,AS6,Z,19.9,13,16.8,17,386
CADILLAC,SRX,'SUV - STANDARD',3.6,6,AS6,X,14.2,9.8,12.3,23,287
LEXUS,'CT 200h',COMPACT,1.8,4,AV,X,5.5,5.9,5.7,50,131
AUDI,'A4 allroad quattro','STATION WAGON - SMALL',2,4,AM7,Z,10.7,8,9.5,30,221
DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,15.6,10,13.1,22,307
MINI,'Cooper Convertible',MINICOMPACT,1.5,3,AM7,Z,8.3,6.4,7.5,38,174
'LAND ROVER','Range Rover SVAutobiography LWB','SUV - STANDARD',5,8,AS8,Z,17.9,12.7,15.5,18,365
MITSUBISHI,'LANCER EVOLUTION',COMPACT,2,4,M5,Z,14,10.3,12.3,23,283
MITSUBISHI,'Eclipse Cross 4WD','SUV - SMALL',1.5,4,AV8,X,9.6,8.9,9.3,30,216
'LAND ROVER','RANGE ROVER VELAR','SUV - SMALL',3,6,AS8,Z,13,10,11.6,24,273
GMC,'Yukon XL 4WD','SUV - STANDARD',6.2,8,A10,Z,17.1,11.3,14.5,19,340
NISSAN,'SENTRA (Turbo)',MID-SIZE,1.6,4,AV7,Z,8.9,7.3,8.2,34,193
MINI,'COOPER CLUBMAN ALL4',MID-SIZE,1.5,3,AS8,Z,10.2,7.8,9.1,31,213
NISSAN,'370Z ROADSTER',TWO-SEATER,3.7,6,M6,Z,13.6,9.7,11.8,24,278
GMC,SIERRA,'PICKUP TRUCK - STANDARD',5.3,8,A6,X,14.6,10.3,12.7,22,292
JEEP,'GRAND CHEROKEE 4X4','SUV - STANDARD',5.7,8,A8,X,16.6,10.7,14,20,328
TOYOTA,'RAV4 Hybrid AWD','SUV - SMALL',2.5,4,AV,X,5.7,6.3,6,47,139
JAGUAR,'XF 25t AWD',MID-SIZE,2,4,AS8,Z,10.1,7.2,8.8,32,207
CHEVROLET,Camaro,SUBCOMPACT,3.6,6,AS10,X,12.5,8.1,10.5,27,247
PORSCHE,'911 TURBO CABRIOLET',MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,267
NISSAN,QASHQAI,'STATION WAGON - SMALL',2,4,M6,X,10,8.1,9.2,31,216
MINI,'JOHN COOPER WORKS',SUBCOMPACT,2,4,AS6,Z,9.4,7.5,8.5,33,199
JEEP,'NEW WRANGLER UNLIMITED 4X4','SUV - SMALL',3.6,6,A8,X,12.9,10.2,11.7,24,275
LEXUS,'ES 350',MID-SIZE,3.5,6,AS6,X,11.4,7.7,9.7,29,226
CHEVROLET,SILVERADO,'PICKUP TRUCK - STANDARD',5.3,8,A6,X,14.6,10.3,12.7,22,292
FORD,'Mustang (Performance Pkg)',SUBCOMPACT,2.3,4,M6,X,11.8,8.7,10.4,27,244
MERCEDES-BENZ,'CLA 250 4MATIC FFV',COMPACT,2,4,AS7,Z,9.8,7.1,8.6,33,198
HYUNDAI,ELANTRA,MID-SIZE,2,4,AS6,X,9.7,6.7,8.3,34,194
JEEP,'COMPASS 4X4','SUV - SMALL',2.4,4,M5,X,10.6,8.6,9.7,29,228
FORD,'FUSION HYBRID',MID-SIZE,2,4,AV,X,5.4,5.8,5.5,51,126
INFINITI,QX30,COMPACT,2,4,AM7,Z,9.7,7.1,8.5,33,200
CHEVROLET,'SONIC 5','STATION WAGON - SMALL',1.4,4,M6,X,8.5,6.2,7.5,38,175
PORSCHE,Boxster,TWO-SEATER,2,4,AM7,Z,10.5,8,9.4,30,219
MERCEDES-BENZ,'GLC 300 4MATIC COUPE','SUV - SMALL',2,4,A9,Z,11,8.7,10,28,235
SUBARU,'OUTBACK AWD','SUV - SMALL',2.5,4,AV6,X,9.3,7.1,8.3,34,191
RAM,'PROMASTER CITY','SPECIAL PURPOSE VEHICLE',2.4,4,A9,X,11.2,8.1,9.8,29,231
SUBARU,'XV CROSSTREK AWD','SUV - SMALL',2,4,AV6,X,9.1,7,8.1,35,191
INFINITI,Q60,SUBCOMPACT,3.7,6,M6,Z,13.6,9.3,11.6,24,267
JAGUAR,'XF 20d AWD',MID-SIZE,2,4,AS8,D,7.8,5.8,6.9,41,186
FORD,'F-150 FFV (Payload Pkg)','PICKUP TRUCK - STANDARD',5,8,AS6,X,16.8,11.8,14.5,19,340
PORSCHE,'911 TURBO S',MINICOMPACT,3.8,6,AM7,Z,13.7,9.6,11.9,24,278
BMW,'750Li xDRIVE',FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
CHEVROLET,'SILVERADO 4WD','PICKUP TRUCK - STANDARD',5.3,8,A6,E,19.9,14.2,17.3,16,277
MINI,'JOHN COOPER WORKS COUPE',TWO-SEATER,1.6,4,A6,Z,9.3,7,8.3,34,191
PORSCHE,'Panamera 4S Executive',FULL-SIZE,2.9,6,AM8,Z,13.1,8.9,11.2,25,261
CHEVROLET,EQUINOX,'SUV - SMALL',3.6,6,A6,E,18.8,13.1,16.2,17,259
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS8,Z,15.5,9.2,12.7,22,297
HYUNDAI,'Elantra GT',FULL-SIZE,1.6,4,M6,X,10.3,7.9,9.2,31,218
PORSCHE,'911 Targa 4 GTS',MINICOMPACT,3,6,AM7,Z,12.1,9.2,10.8,26,251
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',5,8,AS10,E,20.3,14.7,17.8,16,296
HYUNDAI,'SONATA SPORT/LIMITED',FULL-SIZE,2.4,4,AS6,X,10,7,8.6,33,204
KIA,'OPTIMA HYBRID',MID-SIZE,2,4,AS6,X,6,5.1,5.6,50,132
FORD,'EDGE AWD','SUV - SMALL',2,4,AS6,X,11.8,8.4,10.3,27,240
CHEVROLET,'CRUZE ECO',MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,163
LEXUS,'RC F',SUBCOMPACT,5,8,AS8,Z,15.2,9.5,12.6,22,290
AUDI,'TT ROADSTER QUATTRO',TWO-SEATER,2,4,AM6,X,10.1,7.8,9.1,31,209
NISSAN,'PATHFINDER 4WD','SUV - SMALL',3.5,6,AV,X,12.3,9.3,11,26,253
FORD,'Expedition 4X4','SUV - STANDARD',3.5,6,AS10,X,14.1,10.6,12.5,23,294
BMW,'M4 Cabriolet',SUBCOMPACT,3,6,M6,Z,13.8,9.4,11.9,24,280
HONDA,'ACCORD HYBRID',MID-SIZE,2,4,AV,X,4.7,5.3,5,56,115
HYUNDAI,'GENESIS AWD',FULL-SIZE,5,8,AS8,Z,17.3,10.5,14.2,20,332
JAGUAR,'F-TYPE R AWD COUPE',TWO-SEATER,5,8,AS6,Z,15.7,10.4,13.3,21,311
'LAND ROVER','Discovery Sport P290','SUV - SMALL',2,4,AS9,Z,12.3,9.8,11.1,25,262
'ALFA ROMEO','STELVIO QUADRIFOGLIO','SUV - SMALL',2.9,6,A8,Z,14.1,10.4,12.4,23,292
GMC,'YUKON FFV','SUV - STANDARD',5.3,8,A6,E,19.8,13.9,17.2,16,285
MINI,'COOPER CONVERTIBLE',MINICOMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179
VOLKSWAGEN,'Beetle Dune',COMPACT,2,4,AS6,X,9.1,6.9,8.1,35,189
CHEVROLET,'SONIC 5',MID-SIZE,1.4,4,AS6,X,9,6.8,8,35,184
ACURA,TLX,COMPACT,2.4,4,AM8,Z,10,7.1,8.7,32,205
NISSAN,'TITAN 4WD','PICKUP TRUCK - STANDARD',5.6,8,AS7,X,15.2,11.1,13.4,21,315
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.7,12.4,15.8,18,253
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,9,6.8,8,35,187
BUICK,'ENCORE AWD','SUV - SMALL',1.4,4,AS6,X,9.9,7.8,8.9,32,210
PORSCHE,'911 Carrera S Cabriolet',MINICOMPACT,3,6,M7,Z,12.1,8.3,10.4,27,243
MERCEDES-BENZ,'GLK 250 BLUETEC 4MATIC','SUV - SMALL',2.1,4,AS7,D,9.6,7.1,8.5,33,230
AUDI,'TTS Coupe',SUBCOMPACT,2,4,AM7,Z,10.4,8.2,9.4,30,220
CHEVROLET,'SONIC 5','STATION WAGON - SMALL',1.8,4,AS6,X,9.6,6.7,8.3,34,195
KIA,'FORTE 5',FULL-SIZE,1.6,4,A6,X,11.1,8,9.7,29,223
AUDI,'Q5 HYBRID','SUV - SMALL',2,4,AS8,Z,9.8,7.9,8.9,32,205
NISSAN,ROGUE,'SUV - SMALL',2.5,4,AV,X,9.2,7,8.2,34,192
PORSCHE,'911 CARRERA 4 CABRIOLET',MINICOMPACT,3.4,6,AM7,Z,11.9,8.8,10.5,27,246
LINCOLN,'MKT LIVERY','SPECIAL PURPOSE VEHICLE',2,4,AS6,X,11.5,8.4,10.1,28,232
CADILLAC,CT4-V,COMPACT,2.7,4,AS10,Z,11.5,8.2,10,28,234
DODGE,'CHARGER FFV',FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
CHEVROLET,'Silverado 4WD FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,X,16.6,13,15,19,350
AUDI,S4,COMPACT,3,6,AS8,Z,11.8,8.9,10.5,27,245
GMC,'TERRAIN FFV','SUV - SMALL',2.4,4,A6,E,15.6,10.8,13.4,21,221
'LAND ROVER','RANGE ROVER SUPERCHARGED','SUV - STANDARD',5,8,AS8,E,25,16.9,21.4,13,342
PORSCHE,'CAYENNE TURBO S','SUV - STANDARD',4.8,8,A8,Z,18,11.9,15.2,19,358
INFINITI,'QX60 AWD','SUV - SMALL',3.5,6,AV7,Z,12.5,9,10.9,26,257
HONDA,FIT,'STATION WAGON - SMALL',1.5,4,AV,X,7,5.9,6.5,43,154
JEEP,COMPASS,'SUV - SMALL',2.4,4,A6,X,11.1,8.3,9.8,29,225
GMC,'Sierra 4WD','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15.9,11.8,14.1,20,331
CADILLAC,'CT6 AWD',FULL-SIZE,3.6,6,AS10,X,12.9,8.7,11,26,259
LEXUS,'LS 460 AWD',MID-SIZE,4.6,8,AS8,Z,15.1,10.3,12.9,22,303
'ASTON MARTIN','V8 VANTAGE S',TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,356
NISSAN,FRONTIER,'PICKUP TRUCK - SMALL',2.5,4,A5,X,13.5,10.5,12.2,23,286
MERCEDES-BENZ,'CLA 250',COMPACT,2,4,AS7,Z,9.1,6.2,7.8,36,179
AUDI,'A6 QUATTRO TDI (modified)',MID-SIZE,3,6,AS8,D,9.4,6.2,7.8,36,213
GMC,SIERRA,'PICKUP TRUCK - STANDARD',4.3,6,A6,X,13.4,9.9,11.9,24,274
HONDA,'CIVIC HATCHBACK',FULL-SIZE,1.5,4,AV,X,7.7,6,6.9,41,162
GMC,'Yukon XL 4WD','SUV - STANDARD',6.2,8,A10,Z,17.1,11.3,14.5,19,340
VOLVO,'XC70 T5','SUV - SMALL',2,4,AS8,X,10.3,7.6,9.1,31,213
LINCOLN,'MKC AWD','SUV - SMALL',2.3,4,AS6,X,12.9,9.2,11.2,25,258
SUBARU,'Crosstrek AWD','SUV - SMALL',2,4,M6,X,10.5,8.1,9.4,30,220
SCION,tC,COMPACT,2.5,4,AS6,X,10.2,7.5,9,31,207
FORD,'EXPEDITION EL 4X4','SUV - STANDARD',3.5,6,AS6,X,16.4,12.1,14.4,20,338
JEEP,'COMPASS 4X4','SUV - SMALL',2.4,4,A6,X,11.4,8.7,10.2,28,235
PORSCHE,'911 CARRERA S',MINICOMPACT,3.8,6,AM7,Z,12.1,8.7,10.6,27,244
LAMBORGHINI,'Aventador Roadster',TWO-SEATER,6.5,12,AM7,Z,26.6,15.8,21.7,13,493
BMW,'330i xDRIVE',COMPACT,2,4,AS8,Z,10.2,7.2,8.9,32,208
MERCEDES-BENZ,'AMG GT S COUPE',TWO-SEATER,4,8,AS7,Z,14.5,10.8,12.8,22,303
AUDI,'A5 CABRIOLET QUATTRO',SUBCOMPACT,2,4,AM7,Z,10,7,8.7,32,203
INFINITI,'QX50 AWD','SUV - SMALL',2,4,AV8,Z,10.8,8.3,9.7,29,228
BMW,'435i xDRIVE GRAN COUPE',COMPACT,3,6,AS8,Z,11.9,7.8,10,28,230
CHEVROLET,'CITY EXPRESS','SPECIAL PURPOSE VEHICLE',2,4,AV,X,9.8,8.8,9.3,30,218
GMC,'SIERRA 4WD','PICKUP TRUCK - STANDARD',6.2,8,A8,Z,16,11.7,14.1,20,330
BMW,'428i xDRIVE GRAN COUPE',COMPACT,2,4,AS8,Z,10.6,7.2,9.1,31,209
CHEVROLET,'Silverado WT 4WD','PICKUP TRUCK - STANDARD',2.7,4,A8,X,12.7,11,12,24,280
MITSUBISHI,Mirage,COMPACT,1.2,3,M5,X,7.1,5.8,6.5,43,151
CADILLAC,CT4-V,COMPACT,2.7,4,AS10,Z,11.5,8.2,10,28,234
TOYOTA,'4RUNNER 4WD (Part-Time 4WD)','SUV - STANDARD',4,6,AS5,X,14.2,11.1,12.8,22,294
TOYOTA,'Prius c',COMPACT,1.5,4,AV,X,4.9,5.5,5.1,55,120
'LAND ROVER','RANGE ROVER SPORT SUPERCHARGED','SUV - STANDARD',5,8,AS8,E,24,16.6,20.7,14,331
MINI,'COOPER S CLUBMAN ALL4',MID-SIZE,2,4,AS8,Z,10.5,7.6,9.2,31,215
MITSUBISHI,'LANCER 4WD',COMPACT,2.4,4,AV6,X,10.2,7.9,9.2,31,212
FORD,'Transit Connect Van FFV','SPECIAL PURPOSE VEHICLE',2,4,AS8,X,9.8,8.8,9.3,30,219
FORD,'Edge AWD','SUV - SMALL',2,4,AS8,X,11.4,8.3,10,28,233
AUDI,'A6 QUATTRO',MID-SIZE,2,4,AS8,Z,10.8,7.3,9.2,31,211
VOLKSWAGEN,'JETTA GLI',COMPACT,2,4,M6,Z,10.3,7.2,8.9,32,205
TOYOTA,'TACOMA 4WD','PICKUP TRUCK - SMALL',2.7,4,A4,X,13.1,11.3,12.3,23,283
